id,region,estado,municipio,i1,i2,i3,i4,i5,i6,i7,i8,dp,idh,pobre,gini
101,SIERRA,AZUAY,CUENCA,0.0487,0.1179,0.1121,0.0121,0.0318,0.2238,0.0638,0.351,171.4,0.875,0.15,0.37
201,SIERRA,BOLIVAR,GUARANDA,0.1809,0.1571,0.5266,0.1204,0.1582,0.3672,0.3664,0.5975,52.07,0.714,0.51,0.39
301,SIERRA,CAÑAR,AZOGUES,0.0819,0.1486,0.1937,0.0177,0.0662,0.2375,0.078,0.4391,124.3,0.727,0.26,0.38
401,SIERRA,CARCHI,TULCAN,0.055,0.1895,0.114,0.0429,0.0498,0.3411,0.068,0.3423,50.69,0.727,0.33,0.37
501,SIERRA,COTOPAXI,LATACUNGA,0.0931,0.1249,0.3238,0.0368,0.0395,0.3046,0.1043,0.4685,131.89,0.722,0.37,0.38
601,SIERRA,CHIMBORAZO,RIOBAMBA,0.0836,0.0902,0.1816,0.0286,0.0423,0.2273,0.1222,0.3562,244.85,0.78,0.28,0.38
701,COSTA,EL ORO,MACHALA,0.031,0.106,0.1235,0.021,0.0942,0.3239,0.0315,0.2888,797.02,0.78,0.16,0.34
801,COSTA,ESMERALDAS,ESMERALDAS,0.0534,0.1132,0.1668,0.0713,0.1114,0.3389,0.0314,0.2153,149.16,0.718,0.32,0.35
901,COSTA,GUAYAS,GUAYAQUIL,0.0309,0.0918,0.0982,0.0688,0.1322,0.3473,0.044,0.2133,596.1,0.863,0.14,0.38
1001,SIERRA,IMBABURA,IBARRA,0.0548,0.1334,0.1002,0.0119,0.0191,0.2673,0.0821,0.313,178.04,0.784,0.23,0.37
1101,SIERRA,LOJA,LOJA,0.0314,0.0897,0.126,0.0191,0.0317,0.2958,0.0793,0.3063,122.96,0.796,0.19,0.37
1201,COSTA,LOS RIOS,BABAHOYO,0.0669,0.1314,0.2818,0.0778,0.2019,0.4022,0.0189,0.4375,149.9,0.705,0.3,0.35
1301,COSTA,MANABI,PORTOVIEJO,0.0664,0.1201,0.2249,0.056,0.2848,0.3088,0.0438,0.2888,309.58,0.733,0.19,0.35
1401,AMAZONíA,MORONA SANTIAGO,MORONA,0.0525,0.1291,0.3846,0.1512,0.219,0.343,0.064,0.4403,9.79,0.708,0.43,0.42
1501,AMAZONíA,NAPO,TENA,0.0493,0.1101,0.4985,0.1902,0.293,0.4221,0.0089,0.4832,16.81,0.731,0.57,0.48
1601,AMAZONíA,PASTAZA,PASTAZA,0.0717,0.1279,0.4216,0.2228,0.2902,0.3051,0.0793,0.416,3.4,0.711,0.42,0.44
1701,SIERRA,PICHINCHA,QUITO,0.0299,0.0861,0.0436,0.0061,0.0112,0.2102,0.017,0.2475,571.94,0.821,0.11,0.39
1801,SIERRA,TUNGURAHUA,AMBATO,0.0697,0.1239,0.2237,0.0208,0.0624,0.253,0.1171,0.4351,345.15,0.794,0.23,0.38
1901,AMAZONíA,ZAMORA CHINCHIPE,ZAMORA,0.0423,0.1024,0.3283,0.0645,0.0891,0.3519,0.0079,0.423,14.68,0.694,0.31,0.36
2001,INSULAR,GALAPAGOS,SAN CRISTOBAL,0.0129,0.0616,0.0292,0.0099,0.037,0.2463,0.0102,0.2385,9.54,0.801,0,0.29
2101,AMAZONíA,SUCUMBIOS,LAGO AGRIO,0.0609,0.1645,0.3463,0.1405,0.4907,0.3794,0.0158,0.3933,31.58,0.716,0.35,0.37
2201,AMAZONíA,ORELLANA,ORELLANA,0.0558,0.1399,0.3845,0.2264,0.411,0.401,0.0087,0.4132,10.97,0.701,0.45,0.44
2301,SIERRA,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,0.063,0.1534,0.1759,0.0443,0.3535,0.3415,0.0276,0.3646,114.64,0.737,0.27,0.36
2401,COSTA,SANTA ELENA,SANTA ELENA,0.0558,0.1455,0.4339,0.1395,0.1745,0.4351,0.1236,0.4794,43.43,0.712,0.29,0.31
